"Department","DistinguishedName","Enabled","GivenName","mail","Manager","Name","ObjectClass","ObjectGUID","OfficePhone","SamAccountName","SID","sn","Surname","Title","UserPrincipalName","Office"
"Ressources Humaines","CN=Audrey Mallet,OU=Ressources Humaines,OU=Utilisateurs,DC=contoso,DC=fr","True","Audrey","audreym@contoso.fr","CN=Antoine Lefebvre,OU=Comptabilité,OU=Utilisateurs,DC=contoso,DC=fr","Audrey Mallet","user","09636eb3-0cab-4051-9606-37c549330110","01 99 00 82 58","audreym","S-1-5-21-331390976-2650875657-2422772959-1715","Mallet","Mallet","Responsable des ressources humaines","audrey.mallet@contoso.fr","Paris"
"Conseil en Stratégie","CN=Océane Hubert,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Océane","oceaneh@contoso.fr","CN=Virginie Loiseau,OU=Ingénierie,OU=Utilisateurs,DC=contoso,DC=fr","Océane Hubert","user","8ad45b6d-8c85-496a-a2d9-78422c4ee663","01 99 00 41 78","oceaneh","S-1-5-21-331390976-2650875657-2422772959-1716","Hubert","Hubert","Responsable du conseil en stratégie","oceane.hubert@contoso.fr","Paris"
"Direction Générale","CN=Nathalie Kieffer,OU=Direction Générale,OU=Utilisateurs,DC=contoso,DC=fr","True","Nathalie","nathaliek@contoso.fr","CN=Pauline Poirier,OU=Direction Générale,OU=Utilisateurs,DC=contoso,DC=fr","Nathalie Kieffer","user","99612e2d-ea29-44ed-bc7e-bd17d5fd84a7","01 99 00 01 77","nathaliek","S-1-5-21-331390976-2650875657-2422772959-1717","Kieffer","Kieffer","Vice-président exécutif activités en ligne","nathalie.kieffer@contoso.fr","Paris"
"Pilotage des Affaires","CN=Lucie Moreau,OU=Pilotage des Affaires,OU=Utilisateurs,DC=contoso,DC=fr","True","Lucie","luciem@contoso.fr","CN=Maxime Lefebvre,OU=Direction Commerciale,OU=Utilisateurs,DC=contoso,DC=fr","Lucie Moreau","user","2a43d793-7367-4a3e-8c6e-5ec955a52038","01 99 00 46 76","luciem","S-1-5-21-331390976-2650875657-2422772959-1718","Moreau","Moreau","Directeur général délégué","lucie.moreau@contoso.fr","Paris"
"Conseil en Stratégie","CN=Élodie Caron,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Élodie","elodiec@contoso.fr","CN=Virginie Loiseau,OU=Ingénierie,OU=Utilisateurs,DC=contoso,DC=fr","Élodie Caron","user","f88a171c-b337-4c26-9c4b-824bb74a0729","01 99 00 28 67","elodiec","S-1-5-21-331390976-2650875657-2422772959-1719","Caron","Caron","Responsable du conseil en stratégie","elodie.caron@contoso.fr","Paris"
"Direction Commerciale","CN=Laurent Cordier,OU=Direction Commerciale,OU=Utilisateurs,DC=contoso,DC=fr","True","Laurent","laurentc@contoso.fr","CN=Lucie Moreau,OU=Pilotage des Affaires,OU=Utilisateurs,DC=contoso,DC=fr","Laurent Cordier","user","9476eed7-4e97-4378-b0be-0d8ca07906fd","01 99 00 22 17","laurentc","S-1-5-21-331390976-2650875657-2422772959-1720","Cordier","Cordier","Directeur commercial régional","laurent.cordier@contoso.fr","Paris"
"Pilotage des Affaires","CN=Quentin Joubert,OU=Pilotage des Affaires,OU=Utilisateurs,DC=contoso,DC=fr","True","Quentin","quentinj@contoso.fr","CN=Laurent Cordier,OU=Direction Commerciale,OU=Utilisateurs,DC=contoso,DC=fr","Quentin Joubert","user","4d339518-1c4e-46dd-8024-829f555b1562","03 53 01 11 23","quentinj","S-1-5-21-331390976-2650875657-2422772959-1721","Joubert","Joubert","Responsable commercial","quentin.joubert@contoso.fr","Metz"
"Comité de Direction","CN=Cédric Prévost,OU=Comité de Direction,OU=Utilisateurs,DC=contoso,DC=fr","True","Cédric","cedricp@contoso.fr","CN=Nathalie Kieffer,OU=Direction Générale,OU=Utilisateurs,DC=contoso,DC=fr","Cédric Prévost","user","d70e0bad-9aca-44c7-94cb-12bc7ca5f222","01 99 00 01 72","cedricp","S-1-5-21-331390976-2650875657-2422772959-1722","Prévost","Prévost","Directeur exécutif des services en ligne","cedric.prevost@contoso.fr","Paris"
"Direction Commerciale","CN=Vincent Leclerc,OU=Direction Commerciale,OU=Utilisateurs,DC=contoso,DC=fr","True","Vincent","vincentl@contoso.fr","CN=Lucie Moreau,OU=Pilotage des Affaires,OU=Utilisateurs,DC=contoso,DC=fr","Vincent Leclerc","user","37b056d8-f63e-412b-b172-63d60d35ea56","03 53 01 46 38","vincentl","S-1-5-21-331390976-2650875657-2422772959-1723","Leclerc","Leclerc","Directeur commercial régional","vincent.leclerc@contoso.fr","Metz"
"Direction Commerciale","CN=Étienne Leclerc,OU=Direction Commerciale,OU=Utilisateurs,DC=contoso,DC=fr","True","Étienne","etiennel@contoso.fr","CN=Lucie Moreau,OU=Pilotage des Affaires,OU=Utilisateurs,DC=contoso,DC=fr","Étienne Leclerc","user","72bd066c-d0ac-4e94-af41-11bd70dd7d40","03 53 01 79 34","etiennel","S-1-5-21-331390976-2650875657-2422772959-1724","Leclerc","Leclerc","Directeur commercial régional","etienne.leclerc@contoso.fr","Metz"
"Exploitation","CN=Ludovic Masse,OU=Exploitation,OU=Utilisateurs,DC=contoso,DC=fr","True","Ludovic","ludovicm@contoso.fr","CN=Delphine Bassot,OU=Exploitation,OU=Utilisateurs,DC=contoso,DC=fr","Ludovic Masse","user","50c573a3-0619-4e1b-b433-401a333c7372","04 65 71 89 36","ludovicm","S-1-5-21-331390976-2650875657-2422772959-1725","Masse","Masse","Directeur technique des services professionnels","ludovic.masse@contoso.fr","Lyon"
"Comité de Direction","CN=Quentin Ziegler,OU=Comité de Direction,OU=Utilisateurs,DC=contoso,DC=fr","True","Quentin","quentinz@contoso.fr","CN=Cédric Prévost,OU=Comité de Direction,OU=Utilisateurs,DC=contoso,DC=fr","Quentin Ziegler","user","e644bedd-9b3a-4fa5-be62-f027f2e97dd5","01 99 00 01 92","quentinz","S-1-5-21-331390976-2650875657-2422772959-1726","Ziegler","Ziegler","Directeur régie publicitaire et affiliation","quentin.ziegler@contoso.fr","Paris"
"Direction Commerciale","CN=Anaïs Paulin,OU=Direction Commerciale,OU=Utilisateurs,DC=contoso,DC=fr","True","Anaïs","anaisp@contoso.fr","CN=Lucie Moreau,OU=Pilotage des Affaires,OU=Utilisateurs,DC=contoso,DC=fr","Anaïs Paulin","user","5f35988c-afb1-4107-9b1a-935f91f3bf71","01 99 00 74 14","anaisp","S-1-5-21-331390976-2650875657-2422772959-1727","Paulin","Paulin","Directeur commercial régional","anais.paulin@contoso.fr","Paris"
"Exploitation","CN=Camille Mercier,OU=Exploitation,OU=Utilisateurs,DC=contoso,DC=fr","True","Camille","camillem@contoso.fr","CN=Ludovic Masse,OU=Exploitation,OU=Utilisateurs,DC=contoso,DC=fr","Camille Mercier","user","a528dc1d-0042-484d-81cb-dc58c95d8147","01 99 00 31 86","camillem","S-1-5-21-331390976-2650875657-2422772959-1728","Mercier","Mercier","Directeur informatique","camille.mercier@contoso.fr","Paris"
"Direction Commerciale","CN=Baptiste Guérin,OU=Direction Commerciale,OU=Utilisateurs,DC=contoso,DC=fr","True","Baptiste","baptisteg@contoso.fr","CN=Vincent Leclerc,OU=Direction Commerciale,OU=Utilisateurs,DC=contoso,DC=fr","Baptiste Guérin","user","2bfaa552-d9a5-41e9-a6c3-5be62b4433c8","01 99 00 54 54","baptisteg","S-1-5-21-331390976-2650875657-2422772959-1729","Guérin","Guérin","Responsable commercial","baptiste.guerin@contoso.fr","Paris"
"Conseil en Stratégie","CN=Hugo Baron,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Hugo","hugob@contoso.fr","CN=Virginie Loiseau,OU=Ingénierie,OU=Utilisateurs,DC=contoso,DC=fr","Hugo Baron","user","907dbfd3-298a-4388-8dd9-707760dd3092","01 99 00 83 35","hugob","S-1-5-21-331390976-2650875657-2422772959-1730","Baron","Baron","Responsable du conseil en stratégie","hugo.baron@contoso.fr","Paris"
"Gestion de Projet","CN=Nathalie Barbier,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","True","Nathalie","nathalieb@contoso.fr","CN=Élodie Noël,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Nathalie Barbier","user","d7777583-6b90-40eb-91a8-6f2bf2791f4e","03 53 01 63 45","nathalieb","S-1-5-21-331390976-2650875657-2422772959-1731","Barbier","Barbier","Chef de projet senior","nathalie.barbier@contoso.fr","Metz"
"Marketing","CN=Maxime Vidal,OU=Marketing,OU=Utilisateurs,DC=contoso,DC=fr","True","Maxime","maximev@contoso.fr","CN=Quentin Ziegler,OU=Comité de Direction,OU=Utilisateurs,DC=contoso,DC=fr","Maxime Vidal","user","99fc0f94-9573-477f-8e02-ca842e069b8c","01 99 00 01 64","maximev","S-1-5-21-331390976-2650875657-2422772959-1732","Vidal","Vidal","Directeur de la régie publicitaire","maxime.vidal@contoso.fr","Paris"
"Pilotage des Affaires","CN=Bastien Rey,OU=Pilotage des Affaires,OU=Utilisateurs,DC=contoso,DC=fr","True","Bastien","bastienr@contoso.fr","CN=Étienne Leclerc,OU=Direction Commerciale,OU=Utilisateurs,DC=contoso,DC=fr","Bastien Rey","user","6a11df26-6b53-4baf-b3c8-25add379d21f","01 99 00 31 87","bastienr","S-1-5-21-331390976-2650875657-2422772959-1733","Rey","Rey","Responsable commercial","bastien.rey@contoso.fr","Paris"
"Conseil en Stratégie","CN=Sandrine Pichon,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Sandrine","sandrinep@contoso.fr","CN=Virginie Loiseau,OU=Ingénierie,OU=Utilisateurs,DC=contoso,DC=fr","Sandrine Pichon","user","22b24470-babd-435b-9349-23c1bcadd849","01 99 00 97 58","sandrinep","S-1-5-21-331390976-2650875657-2422772959-1734","Pichon","Pichon","Responsable du conseil en stratégie","sandrine.pichon@contoso.fr","Paris"
"Ressources Humaines","CN=Sébastien Noël,OU=Ressources Humaines,OU=Utilisateurs,DC=contoso,DC=fr","True","Sébastien","sebastienn@contoso.fr","CN=Audrey Mallet,OU=Ressources Humaines,OU=Utilisateurs,DC=contoso,DC=fr","Sébastien Noël","user","d24e5009-dcf1-4d20-9aa3-874a83283cf0","01 99 00 13 46","sebastienn","S-1-5-21-331390976-2650875657-2422772959-1735","Noël","Noël","Responsable des ressources humaines","sebastien.noel@contoso.fr","Paris"
"Direction Commerciale","CN=Étienne Berger,OU=Direction Commerciale,OU=Utilisateurs,DC=contoso,DC=fr","True","Étienne","etienneb@contoso.fr","CN=Lucie Moreau,OU=Pilotage des Affaires,OU=Utilisateurs,DC=contoso,DC=fr","Étienne Berger","user","1f666335-b35b-4db6-ad36-a8c93358c611","03 53 01 77 72","etienneb","S-1-5-21-331390976-2650875657-2422772959-1736","Berger","Berger","Directeur commercial régional","etienne.berger@contoso.fr","Metz"
"Comité de Direction","CN=Caroline Pichon,OU=Comité de Direction,OU=Utilisateurs,DC=contoso,DC=fr","True","Caroline","carolinep@contoso.fr","CN=Quentin Ziegler,OU=Comité de Direction,OU=Utilisateurs,DC=contoso,DC=fr","Caroline Pichon","user","81066423-effe-4a10-aa35-4aa10ae0510c","01 99 00 01 84","carolinep","S-1-5-21-331390976-2650875657-2422772959-1737","Pichon","Pichon","Responsable senior du développement commercial","caroline.pichon@contoso.fr","Paris"
"Gestion de Projet","CN=Anaïs Weber,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","True","Anaïs","anaisw@contoso.fr","CN=Élodie Noël,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Anaïs Weber","user","1eb018bb-7347-46fd-8d83-35ad5aaa731e","01 99 00 99 77","anaisw","S-1-5-21-331390976-2650875657-2422772959-1738","Weber","Weber","Chef de projet senior","anais.weber@contoso.fr","Paris"
"Marketing","CN=Delphine Esnault,OU=Marketing,OU=Utilisateurs,DC=contoso,DC=fr","True","Delphine","delphinee@contoso.fr","CN=Delphine Bassot,OU=Exploitation,OU=Utilisateurs,DC=contoso,DC=fr","Delphine Esnault","user","7139b430-f5e4-4dc2-8b1f-1921b54f42a5","01 99 00 65 11","delphinee","S-1-5-21-331390976-2650875657-2422772959-1739","Esnault","Esnault","Responsable marketing","delphine.esnault@contoso.fr","Paris"
"Conseil Gestion de Contenu","CN=Grégory Chevalier,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","True","Grégory","gregoryc@contoso.fr","CN=Élodie Noël,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Grégory Chevalier","user","e89f603c-3707-49a1-92ad-dc6a231b32f8","04 65 71 61 69","gregoryc","S-1-5-21-331390976-2650875657-2422772959-1740","Chevalier","Chevalier","Responsable du conseil gestion de contenu","gregory.chevalier@contoso.fr","Lyon"
"Gestion de Projet","CN=Étienne Girard,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","True","Étienne","etienneg@contoso.fr","CN=Élodie Noël,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Étienne Girard","user","acacc661-f71d-490a-9cb8-0b7bdfe7c669","01 99 00 81 48","etienneg","S-1-5-21-331390976-2650875657-2422772959-1741","Girard","Girard","Chef de projet senior","etienne.girard@contoso.fr","Paris"
"Conseil en Stratégie","CN=Laurent Mallet,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Laurent","laurentm@contoso.fr","CN=Élodie Caron,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Laurent Mallet","user","6884a642-9966-442a-ac80-6dfed9442a5b","04 65 71 39 65","laurentm","S-1-5-21-331390976-2650875657-2422772959-1742","Mallet","Mallet","Consultant en stratégie","laurent.mallet@contoso.fr","Lyon"
"Exploitation","CN=Sarah Clerc,OU=Exploitation,OU=Utilisateurs,DC=contoso,DC=fr","True","Sarah","sarahc@contoso.fr","CN=Delphine Bassot,OU=Exploitation,OU=Utilisateurs,DC=contoso,DC=fr","Sarah Clerc","user","b1bb9fc3-dcb0-4328-8d91-6d88ee78bc2d","04 65 71 74 36","sarahc","S-1-5-21-331390976-2650875657-2422772959-1743","Clerc","Clerc","Responsable des achats","sarah.clerc@contoso.fr","Lyon"
"Direction Commerciale","CN=Élodie Imbert,OU=Direction Commerciale,OU=Utilisateurs,DC=contoso,DC=fr","True","Élodie","elodiei@contoso.fr","CN=Anaïs Paulin,OU=Direction Commerciale,OU=Utilisateurs,DC=contoso,DC=fr","Élodie Imbert","user","7e28daa4-228f-46fc-b8f1-f35d7e4ed03e","01 99 00 93 37","elodiei","S-1-5-21-331390976-2650875657-2422772959-1744","Imbert","Imbert","Responsable commercial","elodie.imbert@contoso.fr","Paris"
"Pilotage des Affaires","CN=Guillaume Fontaine,OU=Pilotage des Affaires,OU=Utilisateurs,DC=contoso,DC=fr","True","Guillaume","guillaumef@contoso.fr","CN=Étienne Berger,OU=Direction Commerciale,OU=Utilisateurs,DC=contoso,DC=fr","Guillaume Fontaine","user","309409a4-150e-44e3-93c5-f08458b243ee","01 99 00 36 21","guillaumef","S-1-5-21-331390976-2650875657-2422772959-1745","Fontaine","Fontaine","Responsable commercial","guillaume.fontaine@contoso.fr","Paris"
"Gestion de Projet","CN=Pierre Lemoine,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","True","Pierre","pierrel@contoso.fr","CN=Élodie Noël,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Pierre Lemoine","user","23072c6f-3814-4be2-b4f1-ea74a3df4e40","03 53 01 86 73","pierrel","S-1-5-21-331390976-2650875657-2422772959-1746","Lemoine","Lemoine","Chef de projet","pierre.lemoine@contoso.fr","Metz"
"Conseil en Stratégie","CN=Ludovic Hamon,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Ludovic","ludovich@contoso.fr","CN=Virginie Loiseau,OU=Ingénierie,OU=Utilisateurs,DC=contoso,DC=fr","Ludovic Hamon","user","d856c97a-a02f-4b78-b966-1ea9cb9f28e7","03 53 01 13 97","ludovich","S-1-5-21-331390976-2650875657-2422772959-1747","Hamon","Hamon","Responsable du conseil en stratégie","ludovic.hamon@contoso.fr","Metz"
"Exploitation","CN=Pierre Maillard,OU=Exploitation,OU=Utilisateurs,DC=contoso,DC=fr","True","Pierre","pierrem@contoso.fr","CN=Delphine Bassot,OU=Exploitation,OU=Utilisateurs,DC=contoso,DC=fr","Pierre Maillard","user","c9b92bc2-af45-453d-a6cf-00ce57cbdc3d","01 99 00 82 16","pierrem","S-1-5-21-331390976-2650875657-2422772959-1748","Maillard","Maillard","Responsable","pierre.maillard@contoso.fr","Paris"
"Ingénierie et Production","CN=Céline Ollivier,OU=Ingénierie et Production,OU=Utilisateurs,DC=contoso,DC=fr","True","Céline","celineo@contoso.fr","CN=Delphine Bassot,OU=Exploitation,OU=Utilisateurs,DC=contoso,DC=fr","Céline Ollivier","user","8b066919-9f6c-4e45-8afe-7be6ab97853c","03 53 01 41 22","celineo","S-1-5-21-331390976-2650875657-2422772959-1749","Ollivier","Ollivier","Directeur général délégué","celine.ollivier@contoso.fr","Metz"
"Ingénierie et Production","CN=Océane Baron,OU=Ingénierie et Production,OU=Utilisateurs,DC=contoso,DC=fr","True","Océane","oceaneb@contoso.fr","CN=Céline Ollivier,OU=Ingénierie et Production,OU=Utilisateurs,DC=contoso,DC=fr","Océane Baron","user","33d6a6a2-3615-4f0c-aa26-c15016432a24","03 53 01 72 23","oceaneb","S-1-5-21-331390976-2650875657-2422772959-1750","Baron","Baron","Responsable du conseil en stratégie","oceane.baron@contoso.fr","Metz"
"Exploitation","CN=Laurent Blanchard,OU=Exploitation,OU=Utilisateurs,DC=contoso,DC=fr","True","Laurent","laurentb@contoso.fr","CN=Pierre Maillard,OU=Exploitation,OU=Utilisateurs,DC=contoso,DC=fr","Laurent Blanchard","user","a29140f9-13c6-4849-9890-0687072dece8","01 99 00 12 42","laurentb","S-1-5-21-331390976-2650875657-2422772959-1751","Blanchard","Blanchard","Responsable","laurent.blanchard@contoso.fr","Paris"
"Gestion de Projet","CN=Maxime Mercier,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","True","Maxime","maximem@contoso.fr","CN=Pierre Lemoine,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Maxime Mercier","user","49576048-c1ae-4c61-b876-2608434f81ed","01 99 00 96 42","maximem","S-1-5-21-331390976-2650875657-2422772959-1752","Mercier","Mercier","Chef de projet","maxime.mercier@contoso.fr","Paris"
"Stratégie CRM","CN=Olivier Leclerc,OU=Stratégie CRM,OU=Utilisateurs,DC=contoso,DC=fr","True","Olivier","olivierl@contoso.fr","CN=Hugo Baron,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Olivier Leclerc","user","2cfdb538-a03d-44b1-a0f2-b7ef32b713a7","","olivierl","S-1-5-21-331390976-2650875657-2422772959-1753","Leclerc","Leclerc","Responsable du conseil CRM","olivier.leclerc@contoso.fr","Paris"
"Conseil Gestion de Contenu","CN=Baptiste Tanguy,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","True","Baptiste","baptistet@contoso.fr","CN=Grégory Chevalier,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","Baptiste Tanguy","user","45a85a2d-37c8-47e6-9a5a-6f6bc2c7421e","","baptistet","S-1-5-21-331390976-2650875657-2422772959-1754","Tanguy","Tanguy","Consultant gestion de contenu","baptiste.tanguy@contoso.fr","Lyon"
"Conseil Gestion de Contenu","CN=Romain Weber,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","True","Romain","romainw@contoso.fr","CN=Grégory Chevalier,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","Romain Weber","user","87d72a92-cf0c-40f5-b5a2-075d0fc9da0b","","romainw","S-1-5-21-331390976-2650875657-2422772959-1755","Weber","Weber","Consultant gestion de contenu","romain.weber@contoso.fr","Lyon"
"Conseil Gestion de Contenu","CN=Fabien Bouvier,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","True","Fabien","fabienb@contoso.fr","CN=Grégory Chevalier,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","Fabien Bouvier","user","5b517785-ce63-4d9e-9564-75f60db5baa4","","fabienb","S-1-5-21-331390976-2650875657-2422772959-1756","Bouvier","Bouvier","Consultant gestion de contenu","fabien.bouvier@contoso.fr","Lyon"
"Conseil Gestion de Contenu","CN=Olivier Huet,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","True","Olivier","olivierh@contoso.fr","CN=Grégory Chevalier,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","Olivier Huet","user","49b7abb0-7c7e-4052-907c-16f5825683eb","","olivierh","S-1-5-21-331390976-2650875657-2422772959-1757","Huet","Huet","Consultant gestion de contenu","olivier.huet@contoso.fr","Lyon"
"Conseil Gestion de Contenu","CN=Marion Clerc,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","True","Marion","marionc@contoso.fr","CN=Grégory Chevalier,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","Marion Clerc","user","6cfde6df-e2d3-4958-8697-ef78729cbe51","","marionc","S-1-5-21-331390976-2650875657-2422772959-1758","Clerc","Clerc","Consultant gestion de contenu","marion.clerc@contoso.fr","Lyon"
"Stratégie CRM","CN=Margaux Hamon,OU=Stratégie CRM,OU=Utilisateurs,DC=contoso,DC=fr","True","Margaux","margauxh@contoso.fr","CN=Olivier Leclerc,OU=Stratégie CRM,OU=Utilisateurs,DC=contoso,DC=fr","Margaux Hamon","user","011a88bc-7df9-4d92-ba1f-2ff319e101e1","","margauxh","S-1-5-21-331390976-2650875657-2422772959-1759","Hamon","Hamon","Consultant CRM","margaux.hamon@contoso.fr","Paris"
"Conseil Gestion de Contenu","CN=Sophie Barbier,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","True","Sophie","sophieb@contoso.fr","CN=Grégory Chevalier,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","Sophie Barbier","user","d37da227-e452-489e-bf60-b8d87a4c32c0","","sophieb","S-1-5-21-331390976-2650875657-2422772959-1760","Barbier","Barbier","Consultant CRM","sophie.barbier@contoso.fr","Lyon"
